yourlist:M20180831A7434721E10EE6586998A056CCD0537EA81BDB8	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
TRM1_HUMAN	Q9NXH9	TRM1_HUMAN	reviewed	tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)	TRMT1	Homo sapiens (Human)	659
TSYL5_HUMAN	Q86VY4	TSYL5_HUMAN	reviewed	Testis-specific Y-encoded-like protein 5 (TSPY-like protein 5)	TSPYL5 KIAA1750	Homo sapiens (Human)	417
TBA1C_HUMAN	Q9BQE3	TBA1C_HUMAN	reviewed	Tubulin alpha-1C chain (Alpha-tubulin 6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain]	TUBA1C TUBA6	Homo sapiens (Human)	449
TBB5_HUMAN	P07437	TBB5_HUMAN	reviewed	Tubulin beta chain (Tubulin beta-5 chain)	TUBB TUBB5 OK/SW-cl.56	Homo sapiens (Human)	444
TBB4B_HUMAN	P68371	TBB4B_HUMAN	reviewed	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	445
EFTU_HUMAN	P49411	EFTU_HUMAN	reviewed	Elongation factor Tu, mitochondrial (EF-Tu) (P43)	TUFM	Homo sapiens (Human)	452
THIO_HUMAN	P10599	THIO_HUMAN	reviewed	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP)	TXN TRDX TRX TRX1	Homo sapiens (Human)	105
U2AF1_HUMAN	Q01081	U2AF1_HUMAN	reviewed	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 small nuclear RNA auxiliary factor 1) (U2 snRNP auxiliary factor small subunit)	U2AF1 U2AF35 U2AFBP FP793	Homo sapiens (Human)	240
U2AF2_HUMAN	P26368	U2AF2_HUMAN	reviewed	Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit)	U2AF2 U2AF65	Homo sapiens (Human)	475
SR140_HUMAN	O15042	SR140_HUMAN	reviewed	U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140)	U2SURP KIAA0332 SR140	Homo sapiens (Human)	1029
UBA1_HUMAN	P22314	UBA1_HUMAN	reviewed	Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1)	UBA1 A1S9T UBE1	Homo sapiens (Human)	1058
RL40_HUMAN	P62987	RL40_HUMAN	reviewed	Ubiquitin-60S ribosomal protein L40 (CEP52) (Ubiquitin A-52 residue ribosomal protein fusion product 1) [Cleaved into: Ubiquitin; 60S ribosomal protein L40 (Large ribosomal subunit protein eL40)]	UBA52 UBCEP2	Homo sapiens (Human)	128
UBAP2_HUMAN	Q5T6F2	UBAP2_HUMAN	reviewed	Ubiquitin-associated protein 2 (UBAP-2)	UBAP2 KIAA1491	Homo sapiens (Human)	1119
UBP2L_HUMAN	Q14157	UBP2L_HUMAN	reviewed	Ubiquitin-associated protein 2-like (Protein NICE-4)	UBAP2L KIAA0144 NICE4	Homo sapiens (Human)	1087
UBR4_HUMAN	Q5T4S7	UBR4_HUMAN	reviewed	E3 ubiquitin-protein ligase UBR4 (EC 2.3.2.27) (600 kDa retinoblastoma protein-associated factor) (N-recognin-4) (RING-type E3 ubiquitin transferase UBR4) (Retinoblastoma-associated factor of 600 kDa) (RBAF600) (p600) (Zinc finger UBR1-type protein 1)	UBR4 KIAA0462 KIAA1307 RBAF600 ZUBR1	Homo sapiens (Human)	5183
UBF1_HUMAN	P17480	UBF1_HUMAN	reviewed	Nucleolar transcription factor 1 (Autoantigen NOR-90) (Upstream-binding factor 1) (UBF-1)	UBTF UBF UBF1	Homo sapiens (Human)	764
UMPS_HUMAN	P11172	UMPS_HUMAN	reviewed	Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (ODC) (EC 4.1.1.23) (OMPdecase)]	UMPS OK/SW-cl.21	Homo sapiens (Human)	480
RENT1_HUMAN	Q92900	RENT1_HUMAN	reviewed	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog) (hUpf1)	UPF1 KIAA0221 RENT1	Homo sapiens (Human)	1129
QCR1_HUMAN	P31930	QCR1_HUMAN	reviewed	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)	UQCRC1	Homo sapiens (Human)	480
NPA1P_HUMAN	O60287	NPA1P_HUMAN	reviewed	Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog)	URB1 C21orf108 KIAA0539 NOP254 NPA1	Homo sapiens (Human)	2271
USO1_HUMAN	O60763	USO1_HUMAN	reviewed	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	USO1 VDP	Homo sapiens (Human)	962
UBP5_HUMAN	P45974	UBP5_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 5 (EC 3.4.19.12) (Deubiquitinating enzyme 5) (Isopeptidase T) (Ubiquitin thioesterase 5) (Ubiquitin-specific-processing protease 5)	USP5 ISOT	Homo sapiens (Human)	858
UT14A_HUMAN	Q9BVJ6	UT14A_HUMAN	reviewed	U3 small nucleolar RNA-associated protein 14 homolog A (Antigen NY-CO-16) (Serologically defined colon cancer antigen 16)	UTP14A SDCCAG16	Homo sapiens (Human)	771
UTP20_HUMAN	O75691	UTP20_HUMAN	reviewed	Small subunit processome component 20 homolog (Down-regulated in metastasis protein) (Novel nucleolar protein 73) (NNP73) (Protein Key-1A6)	UTP20 DRIM	Homo sapiens (Human)	2785
SYVC_HUMAN	P26640	SYVC_HUMAN	reviewed	Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS)	VARS G7A VARS2	Homo sapiens (Human)	1264
VINC_HUMAN	P18206	VINC_HUMAN	reviewed	Vinculin (Metavinculin) (MV)	VCL	Homo sapiens (Human)	1134
TERA_HUMAN	P55072	TERA_HUMAN	reviewed	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP	Homo sapiens (Human)	806
VIME_HUMAN	P08670	VIME_HUMAN	reviewed	Vimentin	VIM	Homo sapiens (Human)	466
WDR3_HUMAN	Q9UNX4	WDR3_HUMAN	reviewed	WD repeat-containing protein 3	WDR3	Homo sapiens (Human)	943
WDR33_HUMAN	Q9C0J8	WDR33_HUMAN	reviewed	pre-mRNA 3' end processing protein WDR33 (WD repeat-containing protein 33) (WD repeat-containing protein WDC146)	WDR33 WDC146	Homo sapiens (Human)	1336
WDR43_HUMAN	Q15061	WDR43_HUMAN	reviewed	WD repeat-containing protein 43 (U3 small nucleolar RNA-associated protein 5 homolog)	WDR43 KIAA0007 UTP5	Homo sapiens (Human)	677
WDR46_HUMAN	O15213	WDR46_HUMAN	reviewed	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	WDR46 BING4 C6orf11 FP221	Homo sapiens (Human)	610
WDR75_HUMAN	Q8IWA0	WDR75_HUMAN	reviewed	WD repeat-containing protein 75 (U3 small nucleolar RNA-associated protein 17 homolog)	WDR75 UTP17	Homo sapiens (Human)	830
XPO1_HUMAN	O14980	XPO1_HUMAN	reviewed	Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog)	XPO1 CRM1	Homo sapiens (Human)	1071
XPO5_HUMAN	Q9HAV4	XPO5_HUMAN	reviewed	Exportin-5 (Exp5) (Ran-binding protein 21)	XPO5 KIAA1291 RANBP21	Homo sapiens (Human)	1204
XRCC5_HUMAN	P13010	XRCC5_HUMAN	reviewed	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	XRCC5 G22P2	Homo sapiens (Human)	732
XRCC6_HUMAN	P12956	XRCC6_HUMAN	reviewed	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	XRCC6 G22P1	Homo sapiens (Human)	609
XRN2_HUMAN	Q9H0D6	XRN2_HUMAN	reviewed	5'-3' exoribonuclease 2 (EC 3.1.13.-) (DHM1-like protein) (DHP protein)	XRN2	Homo sapiens (Human)	950
SYYC_HUMAN	P54577	SYYC_HUMAN	reviewed	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]	YARS	Homo sapiens (Human)	528
YBOX1_HUMAN	P67809	YBOX1_HUMAN	reviewed	Nuclease-sensitive element-binding protein 1 (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Y-box transcription factor) (Y-box-binding protein 1) (YB-1)	YBX1 NSEP1 YB1	Homo sapiens (Human)	324
YBOX3_HUMAN	P16989	YBOX3_HUMAN	reviewed	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	YBX3 CSDA DBPA	Homo sapiens (Human)	372
YTHD1_HUMAN	Q9BYJ9	YTHD1_HUMAN	reviewed	YTH domain-containing family protein 1 (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)	YTHDF1 C20orf21	Homo sapiens (Human)	559
YTHD2_HUMAN	Q9Y5A9	YTHD2_HUMAN	reviewed	YTH domain-containing family protein 2 (CLL-associated antigen KW-14) (High-glucose-regulated protein 8) (Renal carcinoma antigen NY-REN-2)	YTHDF2 HGRG8	Homo sapiens (Human)	579
YTHD3_HUMAN	Q7Z739	YTHD3_HUMAN	reviewed	YTH domain-containing family protein 3	YTHDF3	Homo sapiens (Human)	585
1433T_HUMAN	P27348	1433T_HUMAN	reviewed	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	YWHAQ	Homo sapiens (Human)	245
1433Z_HUMAN	P63104	1433Z_HUMAN	reviewed	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Homo sapiens (Human)	245
ZCCHV_HUMAN	Q7Z2W4	ZCCHV_HUMAN	reviewed	Zinc finger CCCH-type antiviral protein 1 (ADP-ribosyltransferase diphtheria toxin-like 13) (ARTD13) (Zinc finger CCCH domain-containing protein 2) (Zinc finger antiviral protein) (ZAP)	ZC3HAV1 ZC3HDC2 PRO1677	Homo sapiens (Human)	902
ZFR_HUMAN	Q96KR1	ZFR_HUMAN	reviewed	Zinc finger RNA-binding protein (hZFR) (M-phase phosphoprotein homolog)	ZFR	Homo sapiens (Human)	1074
ZN326_HUMAN	Q5BKZ1	ZN326_HUMAN	reviewed	DBIRD complex subunit ZNF326 (Zinc finger protein 326) (Zinc finger protein interacting with mRNPs and DBC1)	ZNF326 ZIRD	Homo sapiens (Human)	582
ZN598_HUMAN	Q86UK7	ZN598_HUMAN	reviewed	E3 ubiquitin-protein ligase ZNF598 (EC 2.3.2.27) (Zinc finger protein 598)	ZNF598	Homo sapiens (Human)	904
ZRAB2_HUMAN	O95218	ZRAB2_HUMAN	reviewed	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	ZRANB2 ZIS ZNF265	Homo sapiens (Human)	330
ZYX_HUMAN	Q15942	ZYX_HUMAN	reviewed	Zyxin (Zyxin-2)	ZYX	Homo sapiens (Human)	572
TRYP_PIG	P00761	TRYP_PIG	reviewed	Trypsin (EC 3.4.21.4)		Sus scrofa (Pig)	231
